1|1
2|1
3|2
4|3
5|3
6|4
7|5
8|6
9|6
10|7
11	|	8
12	|	9
13	|	9
14	|	10
15	|	11
16	|	12
17	|	12
18	|	14
19	|	15
20	|	16
21	|	16
22	|	17
23	|	18
24	|	18
25	|	19
26	|	20
27	|	21
28	|	22
29	|	22
30	|	23
31	|	24
32	|	25
33	|	26
34	|	26
35	|	27
36	|	28
37	|	29
38	|	30
39	|	31
40	|	31
41	|	32
42	|	32
43	|	33
44	|	34
45	|	34
46	|	35
47	|	36
48	|	37
49	|	37
50	|	38
51	|	39
52	|	39
53	|	41
54	|	42
55	|	43
56	|	43
57	|	43
58	|	44
59	|	45
60	|	46
61	|	47
62	|	48
63	|	49
64	|	50
65	|	51
66	|	52
67	|	52
68	|	53
69	|	54
70	|	54
71	|	55
72	|	56
73	|	57
74	|	58
75	|	58
76	|	59
77	|	60
78	|	61
79	|	61
80	|	62
81	|	63
82	|	64
83	|	65
84	|	66
85	|	67
86	|	67
87	|	68
88	|	69
89	|	69
90	|	70
91	|	71
92	|	72
93	|	72
94	|	73
95	|	74
96	|	75
97	|	76
98	|	76
99	|	77
100	|	78
101	|	79
102	|	80
103	|	81
104	|	81
105	|	83
106	|	83
107	|	85
108	|	85
109	|	86
110	|	87
111	|	87
112	|	89
113	|	89
114	|	90
115	|	91
116	|	91
117	|	92
118	|	93
119	|	95
120	|	95
121	|	96
122	|	97
123	|	98
124	|	99
125	|	100
126	|	100
127	|	101
128	|	102
129	|	102
130	|	103
131	|	104
132	|	104
133	|	105
134	|	105
135	|	106
136	|	107
137	|	108
138	|	108
139	|	109
140	|	110
141	|	110
142	|	111
143	|	112
144	|	113
145	|	113
146	|	114
147	|	114
148	|	116
149	|	117
150	|	118
151	|	119
152	|	120
153	|	121
154	|	122
155	|	122
156	|	123
157	|	124
158	|	124
159	|	125
160	|	126
161	|	127
162	|	128
163	|	128
164	|	129
165	|	130
166	|	131
167	|	133
168	|	132
169	|	133
170	|	135
171	|	136
172	|	136
173	|	137
174	|	138
175	|	138
176	|	140
177	|	140
178	|	141
179	|	141
180	|	142
181	|	142
182	|	143
183	|	144
184	|	145
185	|	146
186	|	147
187	|	148
188	|	148
189	|	149
190	|	150
191	|	151
192	|	152
193	|	152
194	|	153
195	|	155
196	|	156
197	|	157
198	|	158
199	|	159
200	|	160
201	|	161
202	|	162
203	|	162
204	|	163
205	|	164
206	|	165
207	|	166
208	|	167
209	|	168
210	|	168
211	|	169
212	|	170
213	|	171
214	|	172
215	|	173
216	|	174
217	|	175
218	|	176
219	|	176
220	|	177
221	|	178
222	|	179
223	|	179
224	|	180
225	|	181
226	|	182
227	|	183
228	|	183
229	|	184
230	|	185
231	|	186
232	|	188
233	|	187
234	|	187
235	|	189
236	|	190
237	|	191
238	|	191
239	|	192
240	|	192
241	|	193
242	|	194
243	|	195
244	|	196
245	|	196
246	|	197
247	|	198
248	|	199
249	|	199
250	|	200
251	|	201
252	|	202
253	|	203
254	|	204
255	|	204
256	|	205
257	|	206
258	|	206
259	|	207
260	|	208
261	|	209
262	|	210
263	|	211
264	|	211
265	|	212
266	|	213
267	|	214
268	|	215
269	|	216
270	|	217
271	|	216
